Read date,NSA,Novva,Aligned,Zions Center of Excellence,Canyon Park,Fibernet,Flexential,Draper Coca-Cola (Ground Truth),NSA (acre feet),Novva (acre feet),Aligned (acre feet),Zions Center of Excellence (acre feet),Canyon Park (acre feet),Fibernet (acre feet),Flexential (acre feet),Draper Coca-Cola (Ground Truth) (acre feet)
November 2022,7206,41,"4,575",70,660,20,24.08,80,22.11440198,0.1258243799,14.04015946,0.2148221119,2.025465627,0.06137774627,0.07389880651,0.2455109851
December 2022,7268,61,"5,709",585,1838,22,22.36,70,22.30467299,0.1872021261,17.52027767,1.795299078,5.640614882,0.0675155209,0.06862032033,0.2148221119
January 2023,6370,69,"3,693",42,394,20,20.64,80,19.54881219,0.2117532246,11.33340085,0.1288932672,1.209141602,0.06137774627,0.06334183415,0.2455109851
February 2023,5877,103,"3,776",70,430,34,25.8,90,18.03585074,0.3160953933,11.5881185,0.2148221119,1.319621545,0.1043421687,0.07917729269,0.2761998582
March 2023,7636,146,"2,879",57,265,32,17.2,70,23.43402353,0.4480575478,8.835326576,0.1749265769,0.8132551381,0.09820439403,0.05278486179,0.2148221119
April 2023,8295,174,"1,318",58,573,349,32.68,100,25.45642027,0.5339863926,4.044793479,0.1779954642,1.758472431,1.071041672,0.1002912374,0.3068887314
May 2023,16056,176,186,196,3426,205,25.8,350,49.27405471,0.5401241672,0.5708130403,0.6015019135,10.51400794,0.6291218993,0.07917729269,1.07411056
June 2023,14284,217,314,427,9130,641,25.8,960,43.83598639,0.665948547,0.9636306164,1.310414883,28.01894117,1.967156768,0.07917729269,2.946131821
July 2023,13510,180,215,494,10373,509,30.09,1110,41.46066761,0.5523997164,0.6598107724,1.516030333,31.8335681,1.562063643,0.09234281926,3.406464918
August 2023,15572,213,759,1321,7940,594,31.86,1820,47.78871325,0.6536729978,2.329285471,4.054000141,24.36696527,1.822919064,0.09777474981,5.585374911
September 2023,13228,95,634,762,7708,460,28.32,1720,40.59524138,0.2915442948,1.945674557,2.338492133,23.65498341,1.411688164,0.08691088872,5.278486179
October 2023,9766,57,"6,951",775,2644,287,28.32,1040,29.9707535,0.1749265769,21.33183572,2.378387668,8.114138057,0.880770659,0.08691088872,3.191642806
November 2023,665,49,"2,248",100,531,20,26.55,100,2.040810063,0.1503754784,6.898858681,0.3068887314,1.629579163,0.06137774627,0.08147895817,0.3068887314
December 2023,6749,29,"1,732",130,315,18,17.7,100,20.71192048,0.08899773209,5.315312827,0.3989553508,0.9666995038,0.05523997164,0.05431930545,0.3068887314
January 2024,6148,35,"5,704",43,437,16,24.78,100,18.8675192,0.107411056,17.50493324,0.1319621545,1.341103756,0.04910219702,0.07604702763,0.3068887314
February 2024,6047,85,"1,063",120,365,16,19.47,110,18.55756158,0.2608554216,3.262227214,0.3682664776,1.120143869,0.04910219702,0.05975123599,0.3375776045
March 2024,6479,96,991,59,256,15,23.01,90,19.8833209,0.2946131821,3.041267328,0.1810643515,0.7856351523,0.0460333097,0.07061509708,0.2761998582
April 2024,7335,139,"1,354",57,688,14,15.93,110,22.51028844,0.4265753366,4.155273423,0.1749265769,2.111394472,0.04296442239,0.0488873749,0.3375776045
May 2024,10005,212,226,86,2442,584,12.39,960,30.70421757,0.6506041105,0.6935685329,0.263924309,7.49422282,1.792230191,0.03802351381,2.946131821
June 2024,13704,110,326,898,322,523,17.7,1830,42.05603174,0.3375776045,1.000457264,2.755860808,0.988181715,1.605028065,0.05431930545,5.616063784
July 2024,,64,354,686,6554,449,21.84,2070,,0.1964087881,1.086386109,2.105256697,20.11348745,1.377930404,0.06702449893,6.352596739
